,Date Flown,Aircraft,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
253,August 2021,A320,Couple Leisure,Economy Class,1,1,1,NaN,1,1,1,no
254,September 2021,NaN,Couple Leisure,Business Class,3,1,2,NaN,1,1,NaN,no
255,September 2021,NaN,Business,Business Class,3,1,1,2,3,4,2,no
256,September 2021,A320,Couple Leisure,Business Class,3,3,3,NaN,3,3,2,yes
257,September 2021,A320,Family Leisure,Business Class,3,5,4,NaN,3,4,4,yes
258,September 2021,Embraer,Solo Leisure,Economy Class,4,4,1,NaN,1,1,NaN,no
259,October 2020,NaN,Business,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
260,September 2021,NaN,Family Leisure,Economy Class,NaN,NaN,NaN,NaN,1,3,NaN,no
261,August 2021,NaN,Business,Business Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
262,September 2021,NaN,Solo Leisure,Economy Class,2,3,3,3,1,3,NaN,no
263,August 2021,NaN,Couple Leisure,Economy Class,1,1,1,1,1,1,NaN,no
264,August 2021,NaN,Business,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
265,August 2021,Boeing 787-8,Solo Leisure,Economy Class,5,4,1,1,3,2,1,yes
266,August 2021,NaN,Solo Leisure,Economy Class,4,5,4,NaN,5,5,5,yes
267,August 2021,A320,Family Leisure,Economy Class,4,5,4,4,4,4,4,yes
268,August 2021,NaN,Family Leisure,Business Class,4,1,2,3,1,1,NaN,no
269,August 2021,NaN,Business,Business Class,3,2,2,NaN,1,2,NaN,no
270,July 2021,A330,Couple Leisure,Business Class,3,4,5,NaN,3,3,NaN,no
271,April 2021,NaN,Family Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
272,July 2021,A230,Solo Leisure,Premium Economy,1,1,NaN,NaN,1,1,NaN,no
273,July 2021,Boeing 777-200,Family Leisure,Business Class,4,5,5,4,4,4,4,yes
274,July 2021,Boeing 777-200,Family Leisure,Business Class,5,5,4,4,4,5,4,yes
275,July 2021,NaN,Family Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
276,July 2021,NaN,Family Leisure,Economy Class,3,3,NaN,NaN,1,2,NaN,no
277,June 2021,NaN,Business,Business Class,3,4,NaN,NaN,3,3,NaN,yes
278,June 2021,Boeing 787,Solo Leisure,Business Class,1,2,3,3,3,1,1,no
279,June 2021,A320,Couple Leisure,Business Class,4,3,3,NaN,5,4,NaN,yes
280,June 2021,NaN,Solo Leisure,Economy Class,4,4,4,4,4,4,NaN,yes
281,May 2021,A320,Couple Leisure,Business Class,4,4,4,NaN,5,4,NaN,yes
282,January 2021,NaN,Family Leisure,Economy Class,3,3,NaN,NaN,3,1,NaN,no
283,May 2021,A321NEO,Solo Leisure,Economy Class,4,5,4,3,4,4,5,yes
284,April 2021,NaN,Business,Business Class,3,3,NaN,NaN,4,4,NaN,yes
285,April 2021,Boeing 737-800,Solo Leisure,Economy Class,4,5,4,NaN,5,4,NaN,yes
286,December 2020,NaN,Solo Leisure,Economy Class,2,4,1,3,3,1,NaN,no
287,February 2021,NaN,Couple Leisure,Economy Class,1,1,1,NaN,1,1,NaN,no
288,November 2020,NaN,Family Leisure,Economy Class,1,1,NaN,NaN,1,1,NaN,no
289,January 2021,NaN,Solo Leisure,Economy Class,2,2,NaN,NaN,1,1,NaN,no
290,December 2020,NaN,Solo Leisure,Economy Class,5,5,5,5,5,3,5,no
291,February 2021,NaN,Solo Leisure,Economy Class,5,5,5,5,4,5,NaN,yes
292,January 2021,Boeing 787-9,Business,First Class,2,5,1,2,3,3,1,no
293,December 2020,NaN,Family Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
294,December 2020,NaN,Solo Leisure,Economy Class,5,4,4,NaN,5,3,1,yes
295,September 2020,NaN,Solo Leisure,Economy Class,5,5,NaN,NaN,5,5,NaN,yes
296,December 2020,NaN,Solo Leisure,Economy Class,5,5,NaN,NaN,5,4,NaN,yes
297,July 2020,A350,Solo Leisure,Premium Economy,4,1,1,5,5,5,4,no
298,December 2020,A321,Solo Leisure,Business Class,3,5,3,NaN,4,4,5,yes
299,December 2020,Boeing 747,Family Leisure,Economy Class,1,1,1,1,1,1,1,no
300,October 2020,NaN,Solo Leisure,Economy Class,5,4,3,NaN,3,5,NaN,yes
301,November 2019,NaN,Couple Leisure,Economy Class,5,5,5,5,5,5,5,yes
302,October 2020,NaN,Family Leisure,Economy Class,5,5,1,5,5,2,3,no
303,September 2020,A320neo,Solo Leisure,Business Class,5,5,5,5,4,5,5,yes
